符合條件商品
資料日期：2024年  7月 26日
策略,	ETF50_picker
"序號","代碼","商品","成交","漲幅%",總量
1	,"2317.TW","鴻海","192","-4.71",105379
2	,"2884.TW","玉山金","27","-3.71",96501
3	,"2330.TW","台積電","924","-5.62",95625
4	,"2303.TW","聯電","50.7","-1.17",90576
5	,"2891.TW","中信金","35.6","-0.7",64470
6	,"2883.TW","開發金","15.8","0",63868
7	,"3711.TW","日月光投控","155.5","-9.86",50517
8	,"3231.TW","緯創","97","-3.96",42993
9	,"2408.TW","南亞科","58.1","-4.13",40108
10	,"2882.TW","國泰金","61.5","0",37554
11	,"2382.TW","廣達","275","-7.41",37236
12	,"2002.TW","中鋼","22.9","0.44",36384
13	,"2887.TW","台新金","20.05","0.25",34514
14	,"2890.TW","永豐金","26.05","-2.25",33460
15	,"2885.TW","元大金","32.05","-2.88",29543
16	,"3037.TW","欣興","191","-1.8",25977
17	,"1101.TW","台泥","34.9","-0.14",25158
18	,"2892.TW","第一金","29.3","0",23550
19	,"2301.TW","光寶科","102","-3.77",19383
20	,"1216.TW","統一","87.2","-1.47",19355
21	,"2886.TW","兆豐金","42.7","-0.12",18527
22	,"2881.TW","富邦金","84.9","-0.7",17334
23	,"2308.TW","台達電","388","-0.39",17066
24	,"2603.TW","長榮","165.5","-0.9",16438
25	,"2412.TW","中華電","122.5","0.82",16002
26	,"2880.TW","華南金","27.3","-1.62",14002
27	,"1303.TW","南亞","49.7","-1.19",11547
28	,"3017.TW","奇鋐","613","-8.37",11013
29	,"2454.TW","聯發科","1245","-2.35",10546
30	,"5880.TW","合庫金","26.55","-0.56",10418
31	,"5876.TW","上海商銀","41.7","-1.07",10036
32	,"1301.TW","台塑","58.8","0",9429
33	,"4938.TW","和碩","104.5","-0.48",9267
34	,"3045.TW","台灣大","106","0.47",8806
35	,"4904.TW","遠傳","86.4","0.7",8072
36	,"2357.TW","華碩","458","-4.28",6350
37	,"5871.TW","中租-KY","149","-1.65",5566
38	,"1326.TW","台化","50","-0.99",5561
39	,"6505.TW","台塑化","64.9","-0.31",5086
40	,"3034.TW","聯詠","544","0.55",4871
41	,"2327.TW","國巨","727","-3.71",4322
42	,"6669.TW","緯穎","1975","-8.99",4169
43	,"2345.TW","智邦","511","-0.2",4003
44	,"3661.TW","世芯-KY","2690","-4.78",2705
45	,"2395.TW","研華","350","-5.66",2528
46	,"2912.TW","統一超","282.5","-0.18",2449
47	,"2379.TW","瑞昱","520","-1.33",2155
48	,"3008.TW","大立光","2770","-2.64",933
49	,"1590.TW","亞德客-KY","873","-10",788
50	,"2207.TW","和泰車","648","0.62",398
